"HtmlFile","Href","DecodedHref","ExpectedLocalPath","Status"
"Sketches\celebrity-characters\pepe\_archived-merged-pages\pepe-brain-cloud-frog-20260508-155017\index.html","../index.html","../index.html","D:\github\ron-english-sketches-pop-culture\Sketches\celebrity-characters\pepe\_archived-merged-pages\index.html","Missing"
"Sketches\celebrity-characters\pepe\_archived-merged-pages\pepe-brain-cloud-frog-20260508-155017\index.html","../index.html","../index.html","D:\github\ron-english-sketches-pop-culture\Sketches\celebrity-characters\pepe\_archived-merged-pages\index.html","Missing"
"Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\old-and-grumpy-spongebob-20260508-154809\index.html","../index.html","../index.html","D:\github\ron-english-sketches-pop-culture\Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\index.html","Missing"
"Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\old-and-grumpy-spongebob-20260508-154809\index.html","../index.html","../index.html","D:\github\ron-english-sketches-pop-culture\Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\index.html","Missing"
"Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\old-patrick-sitting-on-park-bench-20260508-154809\index.html","../index.html","../index.html","D:\github\ron-english-sketches-pop-culture\Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\index.html","Missing"
"Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\old-patrick-sitting-on-park-bench-20260508-154809\index.html","../index.html","../index.html","D:\github\ron-english-sketches-pop-culture\Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\index.html","Missing"
"Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\old-spongebob-sitting-on-bench-20260508-154809\index.html","../index.html","../index.html","D:\github\ron-english-sketches-pop-culture\Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\index.html","Missing"
"Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\old-spongebob-sitting-on-bench-20260508-154809\index.html","../index.html","../index.html","D:\github\ron-english-sketches-pop-culture\Sketches\celebrity-characters\spongebob-family\_archived-merged-pages\index.html","Missing"
